Country/Other,Population (2020),Land Area (Km²), Population Density (Population/Km^2
Afghanistan,38928346,652860,59.6274
Albania,2877797,27400,105.029
Algeria,43851044,2381740,18.4113
Angola,32866272,1246700,26.3626
Antigua and Barbuda,97929,440,222.566
Argentina,45195774,2736690,16.5148
Armenia,2963243,28470,104.083
Aruba,106766,180,593.144
Australia,25499884,7682300,3.3193
Austria,9006398,82409,109.289
Azerbaijan,10139177,82658,122.664
Bahamas,393244,10010,39.2851
Bahrain,1701575,760,2238.91
Bangladesh,164689383,130170,1265.19
Barbados,287375,430,668.314
Belarus,9449323,202910,46.569
Belgium,11589623,30280,382.748
Belize,397628,22810,17.4322
Benin,12123200,112760,107.513
Bhutan,771608,38117,20.2431
Bolivia,11673021,1083300,10.7754
Bosnia and Herzegovina,3280819,51000,64.3298
Botswana,2351627,566730,4.14947
Brazil,212559417,8358140,25.4314
Brunei,437479,5270,83.0131
Bulgaria,6948445,108560,64.0056
Burkina Faso,20903273,273600,76.4009
Burundi,11890784,25680,463.037
Cabo Verde,555987,4030,137.962
Cambodia,16718965,176520,94.7143
Cameroon,26545863,472710,56.1568
Canada,37742154,9093510,4.15045
Central African Republic,4829767,622980,7.75268
Chad,16425864,1259200,13.0447
Channel Islands,173863,190,915.068
Chile,19116201,743532,25.71
China,1439323776,9388211,153.312
Colombia,50882891,1109500,45.8611
Comoros,869601,1861,467.276
Congo,5518087,341500,16.1584
Costa Rica,5094118,51060,99.7673
Croatia,4105267,55960,73.3607
Cuba,11326616,106440,106.413
Curaçao,164093,444,369.579
Cyprus,1207359,9240,130.667
Czech Republic (Czechia),10708981,77240,138.646
Côte d'Ivoire,26378274,318000,82.9505
DR Congo,89561403,2267050,39.5057
Denmark,5792202,42430,136.512
Djibouti,988000,23180,42.623
Dominican Republic,10847910,48320,224.501
Ecuador,17643054,248360,71.0382
Egypt,102334404,995450,102.802
El Salvador,6486205,20720,313.041
Equatorial Guinea,1402985,28050,50.0173
Eritrea,3546421,101000,35.1131
Estonia,1326535,42390,31.2936
Eswatini,1160164,17200,67.4514
Ethiopia,114963588,1000000,114.964
Fiji,896445,18270,49.0665
Finland,5540720,303890,18.2326
France,65273511,547557,119.209
French Guiana,298682,82200,3.6336
French Polynesia,280908,3660,76.7508
Gabon,2225734,257670,8.63792
Gambia,2416668,10120,238.801
Georgia,3989167,69490,57.4063
Germany,83783942,348560,240.372
Ghana,31072940,227540,136.56
Greece,10423054,128900,80.8616
Grenada,112523,340,330.95
Guadeloupe,400124,1690,236.76
Guam,168775,540,312.546
Guatemala,17915568,107160,167.185
Guinea,13132795,245720,53.4462
Guinea-Bissau,1968001,28120,69.9858
Guyana,786552,196850,3.99569
Haiti,11402528,27560,413.735
Honduras,9904607,111890,88.5209
Hong Kong,7496981,1050,7139.98
Hungary,9660351,90530,106.709
Iceland,341243,100250,3.40392
India,1380004385,2973190,464.149
Indonesia,273523615,1811570,150.987
Iran,83992949,1628550,51.5753
Iraq,40222493,434320,92.6103
Ireland,4937786,68890,71.6764
Israel,8655535,21640,399.979
Italy,60461826,294140,205.555
Jamaica,2961167,10830,273.423
Japan,126476461,364555,346.934
Jordan,10203134,88780,114.926
Kazakhstan,18776707,2699700,6.95511
Kenya,53771296,569140,94.4782
Kiribati,119449,810,147.468
Kuwait,4270571,17820,239.65
Kyrgyzstan,6524195,191800,34.0156
Laos,7275560,230800,31.5232
Latvia,1886198,62200,30.3247
Lebanon,6825445,10230,667.199
Lesotho,2142249,30360,70.5616
Liberia,5057681,96320,52.5091
Libya,6871292,1759540,3.90516
Lithuania,2722289,62674,43.4357
Luxembourg,625978,2590,241.69
Macao,649335,30,21644.5
Madagascar,27691018,581795,47.5958
Malawi,19129952,94280,202.906
Malaysia,32365999,328550,98.5116
Maldives,540544,300,1801.81
Mali,20250833,1220190,16.5965
Malta,441543,320,1379.82
Martinique,375265,1060,354.024
Mauritania,4649658,1030700,4.51117
Mauritius,1271768,2030,626.487
Mayotte,272815,375,727.507
Mexico,128932753,1943950,66.3251
Micronesia,548914,700,784.163
Moldova,4033963,32850,122.799
Mongolia,3278290,1553560,2.11018
Montenegro,628066,13450,46.6964
Morocco,36910560,446300,82.7035
Mozambique,31255435,786380,39.746
Myanmar,54409800,653290,83.2858
Namibia,2540905,823290,3.08628
Nepal,29136808,143350,203.256
Netherlands,17134872,33720,508.152
New Caledonia,285498,18280,15.6181
New Zealand,4822233,263310,18.3139
Nicaragua,6624554,120340,55.0486
Niger,24206644,1266700,19.11
Nigeria,206139589,910770,226.336
North Korea,25778816,120410,214.092
North Macedonia,2083374,25220,82.608
Norway,5421241,365268,14.8418
Oman,5106626,309500,16.4996
Pakistan,220892340,770880,286.546
Panama,4314767,74340,58.041
Papua New Guinea,8947024,452860,19.7567
Paraguay,7132538,397300,17.9525
Peru,32971854,1280000,25.7593
Philippines,109581078,298170,367.512
Poland,37846611,306230,123.589
Portugal,10196709,91590,111.33
Puerto Rico,2860853,8870,322.531
Qatar,2881053,11610,248.153
Romania,19237691,230170,83.5804
Russia,145934462,16376870,8.91101
Rwanda,12952218,24670,525.019
Réunion,895312,2500,358.125
Saint Lucia,183627,610,301.028
Samoa,198414,2830,70.111
Sao Tome & Principe,219159,960,228.291
Saudi Arabia,34813871,2149690,16.1948
Senegal,16743927,192530,86.9679
Serbia,8737371,87460,99.9013
Seychelles,98347,460,213.798
Sierra Leone,7976983,72180,110.515
Singapore,5850342,700,8357.63
Slovakia,5459642,48088,113.534
Slovenia,2078938,20140,103.224
Solomon Islands,686884,27990,24.5403
Somalia,15893222,627340,25.3343
South Africa,59308690,1213090,48.8906
South Korea,51269185,97230,527.298
South Sudan,11193725,610952,18.3218
Spain,46754778,498800,93.7345
Sri Lanka,21413249,62710,341.465
St. Vincent & Grenadines,110940,390,284.462
State of Palestine,5101414,6020,847.411
Sudan,43849260,1765048,24.8431
Suriname,586632,156000,3.76046
Sweden,10099265,410340,24.6119
Switzerland,8654622,39516,219.016
Syria,17500658,183630,95.3039
Taiwan,23816775,35410,672.6
Tajikistan,9537645,139960,68.1455
Tanzania,59734218,885800,67.4353
Thailand,69799978,510890,136.624
Timor-Leste,1318445,14870,88.6648
Togo,8278724,54390,152.21
Tonga,105695,720,146.799
Trinidad and Tobago,1399488,5130,272.805
Tunisia,11818619,155360,76.0725
Turkey,84339067,769630,109.584
Turkmenistan,6031200,469930,12.8343
U.S. Virgin Islands,104425,350,298.357
Uganda,45741007,199810,228.923
Ukraine,43733762,579320,75.4915
United Arab Emirates,9890402,83600,118.306
United Kingdom,67886011,241930,280.602
United States,331002651,9147420,36.1854
Uruguay,3473730,175020,19.8476
Uzbekistan,33469203,425400,78.677
Vanuatu,307145,12190,25.1965
Venezuela,28435940,882050,32.2385
Vietnam,97338579,310070,313.925
Western Sahara,597339,266000,2.24564
Yemen,29825964,527970,56.4918
Zambia,18383955,743390,24.7299
Zimbabwe,14862924,386850,38.4204
